genotype	start_nt	end_nt	source
default	1846	1905	literature span, reference numbering (EcoRI origin); calibrate per genotype with scripts/locate_epsilon.py
A	1846	1905	auto-calibrated by local alignment of a 60-nt epsilon query to genotype_A.fasta normalised to the reference frame (strand +, shift 1407); identity 96.7%, coverage 100.0%; verify before use
B	1846	1905	auto-calibrated by local alignment of a 60-nt epsilon query to genotype_B.fasta normalised to the reference frame (strand +, shift 3213); identity 100.0%, coverage 100.0%; verify before use
C	1846	1905	auto-calibrated by local alignment of a 60-nt epsilon query to genotype_C.fasta normalised to the reference frame (strand +, shift 3213); identity 96.7%, coverage 100.0%; verify before use
D	1846	1905	auto-calibrated by local alignment of a 60-nt epsilon query to genotype_D.fasta normalised to the reference frame (strand -, shift 3178); identity 100.0%, coverage 100.0%; verify before use
E	1846	1905	auto-calibrated by local alignment of a 60-nt epsilon query to genotype_E.fasta normalised to the reference frame (strand +, shift 3210); identity 100.0%, coverage 100.0%; verify before use
F	1846	1905	auto-calibrated by local alignment of a 60-nt epsilon query to genotype_F.fasta normalised to the reference frame (strand +, shift 3213); identity 96.7%, coverage 100.0%; verify before use
G	1846	1905	auto-calibrated by local alignment of a 60-nt epsilon query to genotype_G.fasta normalised to the reference frame (strand +, shift 3246); identity 98.3%, coverage 100.0%; verify before use; NOTE: genotype G reference is 3248 nt due to a 36-nt core-gene insertion (Stuyver et al. 2000); insertion lies outside the origin-to-epsilon interval
H	1846	1905	auto-calibrated by local alignment of a 60-nt epsilon query to genotype_H.fasta normalised to the reference frame (strand +, shift 1); identity 96.7%, coverage 100.0%; verify before use
I	1846	1905	auto-calibrated by local alignment of a 60-nt epsilon query to genotype_I.fasta normalised to the reference frame (strand +, shift 3213); identity 98.3%, coverage 100.0%; verify before use; NOTE: genotype I is provisional/contested; no universally-agreed type strain (Tran et al. 2008 proposal rejected by Kurbanov et al. 2008; EU833891 used for industry-panel consistency)
J	1846	1905	auto-calibrated by local alignment of a 60-nt epsilon query to genotype_J.fasta normalised to the reference frame (strand +, shift 3180); identity 98.3%, coverage 100.0%; verify before use; NOTE: sole known genotype J isolate (Tatematsu et al. 2009, JRB34); AB486012 is 3182 nt with Pol 2307-1623 (832 aa)
